tradeid|currency|measure|amount|productid
11|KOR|DELTA|1544,41|672
30|CAD|DELTA|13188,61|210
27|USD|DELTA|19254,87|141
70|JPY|DELTA|10287,54|710
15|GBP|CURVATURE|266,37|441
17|EUR|CURVATURE|2857,90|911
41|KOR|DELTA|-9005,20|461
1|ZAR|DELTA|2660,32|350
88|ZAR|DELTA|14288,97|1
29|USD|DELTA|409,28|306
96|KOR|DELTA|-6307,86|405
45|EUR|DELTA|13941,88|135
94|CAD|DELTA|-8386,39|969
80|EUR|DELTA|17771,67|486
40|ZAR|DELTA|9301,80|297
87|CAD|DELTA|9797,65|820
4|ZAR|DELTA|-5828,23|744
29|USD|DELTA|-9174,51|571
9|ZAR|DELTA|19288,18|596
64|GBP|DELTA|5080,00|732
31|GBP|DELTA|18011,66|21
69|EUR|DELTA|-9845,11|952
41|JPY|DELTA|18700,06|157
50|GBP|DELTA|-5943,75|130
22|EUR|DELTA|9476,08|861
42|USD|DELTA|19946,96|294
75|EUR|DELTA|3333,71|816
37|ZAR|DELTA|11778,00|277
35|EUR|DELTA|1006,24|541
93|USD|CURVATURE|10682,37|643
24|GBP|DELTA|-7850,83|650
55|CAD|DELTA|13383,43|908
18|EUR|DELTA|-1561,02|719
14|EUR|DELTA|14103,27|523
31|EUR|DELTA|11431,40|889
71|JPY|CURVATURE|5809,83|128
14|USD|DELTA|-415,24|723
89|CHF|CURVATURE|8973,84|430
7|EUR|DELTA|16201,10|520
59|EUR|DELTA|6266,67|864
85|KOR|DELTA|1480,97|821
36|EUR|DELTA|13365,61|948
52|CHF|DELTA|18081,63|64
39|CAD|CURVATURE|-6120,05|728
43|USD|DELTA|11010,36|429
90|GBP|CURVATURE|-6396,03|607
29|GBP|CURVATURE|-2783,20|882
91|CAD|DELTA|-4833,15|435
5|EUR|CURVATURE|10556,53|115
41|GBP|CURVATURE|11604,03|649
50|ZAR|DELTA|18910,73|620
74|USD|DELTA|10434,94|47
5|USD|CURVATURE|-2961,44|108
87|KOR|DELTA|-8896,57|153
90|EUR|DELTA|-6575,58|70
2|KOR|DELTA|-3176,47|909
75|USD|DELTA|9024,10|781
62|ZAR|DELTA|-733,71|285
5|CHF|DELTA|-184,91|838
22|CHF|DELTA|14515,12|551
10|USD|DELTA|-7334,77|232
96|JPY|DELTA|3286,99|44
44|EUR|DELTA|11842,70|652
78|CAD|DELTA|5643,07|737
82|ZAR|DELTA|2933,97|632
80|JPY|DELTA|-8035,82|517
61|ZAR|DELTA|15794,65|44
40|EUR|DELTA|606,97|604
98|JPY|DELTA|12053,91|517
46|EUR|DELTA|9744,59|546
46|JPY|DELTA|6592,86|482
83|USD|DELTA|3880,58|25
66|CHF|DELTA|2132,30|528
4|CAD|DELTA|15453,33|708
15|EUR|DELTA|9749,08|663
27|GBP|DELTA|10957,30|374
80|USD|DELTA|13791,29|441
64|KOR|DELTA|19831,29|655
39|CAD|DELTA|12622,50|834
55|GBP|DELTA|19826,63|456
95|CHF|DELTA|7080,06|452
41|KOR|DELTA|-4907,67|215
38|CAD|CURVATURE|-989,74|526
22|JPY|DELTA|14310,24|632
50|EUR|DELTA|15119,03|847
16|ZAR|CURVATURE|5992,10|114
5|ZAR|DELTA|-3635,06|972
67|ZAR|CURVATURE|-7290,34|124
78|CAD|DELTA|4784,94|133
70|CAD|CURVATURE|15367,18|802
52|CAD|DELTA|4884,31|855
3|GBP|DELTA|13527,83|52
1|CHF|DELTA|2290,55|630
22|KOR|DELTA|7757,54|690
16|CAD|DELTA|2357,37|733
63|JPY|DELTA|-9474,96|9
50|ZAR|DELTA|14745,01|370
7|GBP|CURVATURE|12567,01|7
23|ZAR|DELTA|7976,76|645
88|JPY|CURVATURE|2055,23|869
15|ZAR|DELTA|11701,05|792
72|EUR|CURVATURE|13245,95|630
73|ZAR|DELTA|12341,38|952
88|ZAR|DELTA|14501,65|98
38|CHF|DELTA|-6697,68|448
30|GBP|DELTA|11196,91|479
40|ZAR|CURVATURE|9574,24|406
98|CHF|DELTA|-3308,50|16
14|ZAR|CURVATURE|13939,34|375
2|CAD|CURVATURE|12508,42|468
8|GBP|CURVATURE|-9130,85|818
1|USD|DELTA|11417,08|377
69|CAD|DELTA|12304,97|286
17|USD|DELTA|12213,97|617
22|KOR|CURVATURE|16856,10|460
47|JPY|DELTA|-8373,19|98
75|KOR|CURVATURE|-9590,17|53
89|CHF|CURVATURE|-5447,68|613
91|USD|DELTA|-1061,15|483
20|JPY|CURVATURE|2472,13|196
91|ZAR|DELTA|-4523,81|214
3|GBP|DELTA|-1327,68|29
40|EUR|CURVATURE|17209,41|263
65|KOR|CURVATURE|16207,13|817
75|CAD|DELTA|-326,87|385
16|ZAR|DELTA|-2620,59|402
64|USD|DELTA|-5317,33|512
55|KOR|DELTA|4935,82|717
20|ZAR|DELTA|13388,63|533
47|USD|DELTA|-8136,81|647
55|JPY|DELTA|14420,85|442
82|ZAR|CURVATURE|6387,20|719
98|GBP|DELTA|8153,82|24
73|EUR|CURVATURE|-2125,72|527
7|ZAR|DELTA|-2369,15|10
26|CHF|DELTA|271,69|481
13|KOR|DELTA|15442,53|242
93|EUR|DELTA|8535,87|524
25|CHF|DELTA|-2981,17|527
8|ZAR|CURVATURE|17332,85|360
24|ZAR|DELTA|17363,55|368
17|JPY|DELTA|5879,37|25
78|ZAR|DELTA|10575,24|496
47|CHF|DELTA|-43,70|277
65|KOR|DELTA|14746,08|567
46|EUR|DELTA|17285,61|619
7|ZAR|DELTA|16539,27|559
90|CHF|DELTA|-7866,47|271
85|USD|CURVATURE|7288,26|458
8|CAD|DELTA|14292,16|253
21|GBP|DELTA|555,78|875
64|GBP|DELTA|-2298,98|847
56|JPY|CURVATURE|9296,45|219
91|CHF|DELTA|-305,79|128
75|CAD|CURVATURE|-9011,35|58
55|GBP|DELTA|19086,00|327
61|JPY|DELTA|3087,64|112
86|JPY|DELTA|4520,74|521
5|GBP|DELTA|7993,33|65
47|ZAR|CURVATURE|-5712,12|139
88|KOR|DELTA|10359,87|487
63|EUR|CURVATURE|19309,50|151
32|CHF|DELTA|-3722,50|29
38|CHF|DELTA|7510,15|385
